Angle (Degrees) DistIR (cm)     Dist PING (cm) 
110             73.39           10.98          
108             77.66           11.47          
106             81.53           36.15          
104             83.97           47.83          
102             85.13           64.12          
100             85.30           76.51          
98              85.25           74.92          
96              85.15           73.79          
94              85.07           61.91          
92              85.02           55.27          
90              85.00           45.61          
88              84.99           43.35          
86              84.99           41.36          
84              84.99           55.24          
82              85.00           58.81          
80              85.00           68.73          
78              85.00           66.40          
76              85.00           71.82          
74              85.00           69.03          
72              85.00           61.50          
70              85.00           59.82          
68              85.00           51.85          
66              85.00           42.52          
64              85.00           41.51          
62              85.00           40.51          
60              85.00           54.97          
58              85.00           69.80          
56              85.00           65.44          
54              85.00           54.93          
52              78.98           45.99          
50              77.02           43.68          
48              74.65           38.50          
46              77.31           37.85          
44              80.76           38.69          
42              83.32           40.01          
40              84.74           42.54          
38              85.30           47.54          
36              85.38           48.40          
34              85.28           45.98          
32              82.65           42.34          
30              77.36           40.43          
28              72.00           39.55          
26              66.96           38.02          
24              60.81           37.36          
22              53.67           36.55          
20              46.66           35.93          
18              42.90           35.66          
16              41.75           35.60          
14              40.92           35.38          
12              40.24           35.18          
10              39.39           34.91          
8               38.41           34.71          
6               36.85           34.60          
4               45.92           33.75          
2               33.63           22.22          
0               85.00           71.45          
Object#    Angle      Distance   Width     
1          58   6    9.75       52        

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           83.02          
178             113.33          111.35         
176             113.33          112.01         
174             103.89          103.23         
172             94.44           94.22          
170             88.15           88.15          
168             85.00           85.07          
166             83.95           84.02          
164             83.95           84.00          
162             84.30           84.32          
160             84.65           84.66          
158             84.88           84.88          
156             85.00           85.00          
154             85.04           85.04          
152             85.04           85.04          
150             85.03           85.03          
148             85.01           85.01          
146             85.00           85.00          
144             85.00           85.00          
142             85.00           85.00          
140             85.00           85.00          
138             85.00           85.00          
136             85.00           85.00          
134             85.00           85.00          
132             85.00           85.00          
130             85.00           85.00          
128             85.00           85.00          
126             85.00           85.00          
124             85.00           85.00          
122             85.00           82.18          
120             85.00           82.18          
118             85.00           83.12          
116             85.00           84.06          
114             85.00           82.25          
112             85.00           82.57          
110             85.00           81.65          
108             85.00           78.42          
106             85.00           79.53          
104             85.00           74.31          
102             85.00           74.43          
100             85.00           69.90          
98              85.00           60.25          
96              85.00           58.80          
94              85.00           59.78          
92              85.00           56.58          
90              85.00           59.80          
88              85.00           64.32          
86              85.00           61.66          
84              85.00           51.80          
82              85.00           45.69          
80              85.00           44.52          
78              85.00           48.51          
76              85.00           62.00          
74              83.74           74.17          
72              83.74           79.55          
70              84.16           83.16          
68              83.90           63.73          
66              82.67           42.93          
64              82.23           28.52          
62              83.00           20.96          
60              82.12           18.12          
58              74.25           17.80          
56              55.27           18.34          
54              37.29           19.05          
52              24.93           19.43          
50              18.70           19.64          
48              16.29           19.80          
46              15.63           19.74          
44              16.43           19.63          
42              17.68           19.69          
40              18.70           19.66          
38              19.33           19.74          
36              29.43           19.85          
34              47.41           19.87          
32              65.93           20.00          
30              78.46           20.14          
28              84.82           20.32          
26              87.00           20.48          
24              87.06           23.18          
22              86.39           26.67          
20              85.71           29.47          
18              85.24           32.96          
16              81.28           46.75          
14              78.22           64.10          
12              75.23           76.85          
10              73.28           83.82          
8               73.02           74.92          
6               73.34           63.60          
4               77.33           59.30          
2               52.89           38.10          
0               85.00           85.00          
Object#    Angle      Distance   Width     

Count: 0
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           80.02          
178             113.33          108.36         
176             113.33          110.01         
174             103.89          102.23         
172             94.44           93.89          
170             88.15           80.93          
168             85.00           77.96          
166             83.95           73.15          
164             83.95           71.42          
162             84.30           72.81          
160             84.65           67.83          
158             84.88           64.60          
156             85.00           61.82          
154             85.04           61.23          
152             85.04           68.96          
150             85.03           76.88          
148             85.01           72.37          
146             85.00           75.07          
144             85.00           79.29          
142             85.00           80.42          
140             85.00           82.33          
138             85.00           79.08          
136             85.00           79.97          
134             85.00           78.42          
132             85.00           75.01          
130             85.00           72.99          
128             85.00           73.74          
126             85.00           73.36          
124             85.00           73.54          
122             85.00           68.69          
120             85.00           68.13          
118             85.00           67.66          
116             85.00           68.91          
114             85.00           70.59          
112             85.00           71.65          
110             85.00           72.85          
108             85.00           73.50          
106             85.00           74.24          
104             85.00           74.84          
102             85.00           78.43          
100             85.00           81.82          
98              85.00           79.63          
96              85.00           80.69          
94              83.99           61.39          
92              83.28           38.86          
90              80.28           22.61          
88              77.98           13.78          
86              72.33           10.13          
84              64.65           9.33           
82              52.01           9.68           
80              37.65           10.22          
78              24.74           10.55          
76              15.68           10.80          
74              10.58           10.93          
72              8.46            10.94          
70              7.92            10.89          
68              8.05            10.78          
66              8.34            10.61          
64              8.62            10.55          
62              8.82            10.54          
60              9.03            10.63          
58              9.38            10.77          
56              10.19           10.88          
54              12.32           10.94          
52              20.67           11.03          
50              35.59           11.19          
48              50.18           11.62          
46              66.65           12.16          
44              78.26           15.71          
42              84.37           39.99          
40              85.17           63.08          
38              84.25           78.09          
36              81.95           78.20          
34              75.66           64.74          
32              69.85           48.46          
30              68.36           36.23          
28              69.07           29.46          
26              72.38           26.82          
24              77.69           26.44          
22              81.90           27.54          
20              84.34           28.97          
18              85.37           29.20          
16              85.59           28.97          
14              85.47           28.68          
12              85.27           28.68          
10              85.11           29.48          
8               78.42           33.53          
6               71.92           37.37          
4               58.76           34.33          
2               34.78           21.87          
0               85.00           71.05          
Object#    Angle      Distance   Width     

Count: 0
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           85.00          
178             113.33          113.33         
176             113.33          113.33         
174             103.89          103.89         
172             94.44           91.33          
170             88.15           85.03          
168             85.00           69.99          
166             83.95           69.97          
164             83.95           56.34          
