Angle (Degrees) DistIR (cm)     Dist PING (cm) 
44              37.23           32.37          
42              39.02           32.38          
40              40.00           32.12          
38              40.43           32.15          
36              40.11           32.14          
34              39.75           32.36          
32              39.12           32.38          
30              38.03           32.42          
28              36.75           32.40          
26              37.15           32.47          
24              36.85           32.46          
22              35.15           32.52          
20              37.03           32.19          
18              36.14           33.02          
16              38.08           32.84          
14              38.57           33.33          
12              38.94           33.25          
10              38.82           33.65          
8               37.88           33.73          
6               40.60           34.37          
4               38.74           34.36          
2               42.50           35.03          
0               44.37           35.61          
Object#    Angle      Distance   Width     
1          114  82   8.04       32        

Count: 1
